Order_ID,Customer_ID,Rider_ID,Dark_Store_ID,Order_Timestamp,Weather,Traffic_Density,Vehicle_Type,Primary_Category,Payment_Method,Total_Items,Delivery_Distance_KM,Order_Value_INR,Is_Local_Rider,Pack_Time_Mins,Transit_Time_Mins,Total_Delivery_Time_Mins,SLA_Breached,Customer_Phone_Raw,Rider_Rating,Order_Date,Order_Hour,Day_Name,Week,Delivery_Speed_KMPH,Revenue_Per_KM,Delivery_Bucket,Distance_Bucket
ORD_104199,CUST_1437,RIDER_606,DS_Dwarka,2026-06-10 02:21:48,Clear,Moderate,EV_Scooter,Grocery,Credit_Card,18,3.71,1017.0,No,5.967086994,9.275,15.24,1,-9122677427,1.0,2026-06-10,2,Wednesday,24,23.999999999999996,274.12398921832886,15-20,3-5 km
ORD_128113,CUST_9420,RIDER_749,DS_ConnaughtPlace,2026-06-10 17:21:48,Rain,Moderate,EV_Scooter,Personal_Care,Credit_Card,3,0.93,1380.0,No,2.167986373,4.535397933,6.7,0,-9615318876,3.0,2026-06-10,17,Wednesday,24,12.303220318110068,1483.8709677419354,0-10,0-1 km
ORD_105412,CUST_6275,RIDER_927,DS_ConnaughtPlace,2026-06-10 02:21:48,Clear,High,Petrol_Bike,Beverages,Credit_Card,18,1.36,2516.0,No,4.233741682,3.4,7.63,0,-9281460041,4.5,2026-06-10,2,Wednesday,24,24.000000000000004,1849.9999999999998,0-10,1-2 km
ORD_106514,CUST_3118,RIDER_677,DS_Gurugram_Sec29,2026-06-10 17:21:48,Clear,Low,EV_Scooter,Snacks,UPI,7,2.79,3418.0,No,3.790085641,6.975,10.77,0,-9907965228,3.0,2026-06-10,17,Wednesday,24,24.000000000000004,1225.089605734767,10-15,2-3 km
ORD_120831,CUST_8715,RIDER_115,DS_Saket,2026-06-10 01:21:48,Clear,Moderate,EV_Scooter,Beverages,Cash_On_Delivery,16,3.04,718.0,Yes,5.35026247,6.41198962,11.76,0,-9964212861,1.0,2026-06-10,1,Wednesday,24,28.446708558458337,236.18421052631578,10-15,3-5 km
ORD_101433,CUST_2492,RIDER_682,DS_Noida_Sec18,2026-06-10 21:21:48,Clear,High,EV_Scooter,Snacks,Credit_Card,18,5.39,1903.0,No,5.330578391,13.475,18.81,1,-9334849917,4.5,2026-06-10,21,Wednesday,24,24.0,353.06122448979596,15-20,5+ km
ORD_102373,CUST_4872,RIDER_787,DS_Dwarka,2026-06-10 12:21:48,Clear,Moderate,EV_Scooter,Dairy,Wallet,10,3.56,381.0,Yes,4.347659903,7.508777318,11.86,0,UNKNOWN,4.5,2026-06-10,12,Wednesday,24,28.446708559056514,107.02247191011236,10-15,3-5 km
ORD_124554,CUST_4085,RIDER_540,DS_Gurugram_Sec29,2026-06-10 12:21:48,Rain,High,EV_Scooter,Dairy,Wallet,5,2.17,508.0,Yes,3.168597229,6.441854249,9.61,0,-9248069168,4.5,2026-06-10,12,Wednesday,24,20.21157184986164,234.10138248847926,0-10,2-3 km
ORD_123646,CUST_7303,RIDER_156,DS_Gurugram_Sec29,2026-06-10 17:21:48,Clear,Moderate,EV_Scooter,Dairy,Credit_Card,15,3.31,2477.0,No,5.587449637,8.275,13.86,1,-9338907228,3.0,2026-06-10,17,Wednesday,24,24.0,748.3383685800604,10-15,3-5 km
ORD_102100,CUST_9238,RIDER_439,DS_Dwarka,2026-06-10 07:21:48,Clear,Gridlock,Petrol_Bike,Beverages,Credit_Card,18,1.72,2054.0,No,4.596601593,11.87285864,16.47,1,-9677931294,3.0,2026-06-10,7,Wednesday,24,8.692093718046658,1194.1860465116279,15-20,1-2 km
